location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
United Arab Emirates,ARE,2021-06-12,13785663,,,,101234,70236,137.98,,,,7030,29436,0.295
United Arab Emirates,ARE,2021-06-13,13808426,,,,22763,70382,138.21,,,,7044,29436,0.295
United Arab Emirates,ARE,2021-06-14,13848062,,,,39636,71537,138.6,,,,7160,29436,0.295
United Arab Emirates,ARE,2021-06-15,13964439,,,,116377,76688,139.77,,,,7676,29436,0.295
United Arab Emirates,ARE,2021-06-16,14068507,,,,104068,80081,140.81,,,,8015,29436,0.295
United Arab Emirates,ARE,2021-06-17,14182020,,,,113513,84545,141.95,,,,8462,29436,0.295
United Arab Emirates,ARE,2021-06-18,14298438,,,,116418,87716,143.11,,,,8779,29436,0.295
United Arab Emirates,ARE,2021-06-19,14428916,,,,130478,91893,144.42,,,,9198,29436,0.295
United Arab Emirates,ARE,2021-06-20,14512626,,,,83710,100600,145.26,,,,10069,29436,0.295
United Arab Emirates,ARE,2021-06-21,14631482,,,,118856,111917,146.45,,,,11202,29436,0.295
United Arab Emirates,ARE,2021-06-22,,,,,,102734,,,,,10283,29436,0.295
United Arab Emirates,ARE,2021-06-23,14735666,,,,,95308,147.49,,,,9539,29436,0.295
United Arab Emirates,ARE,2021-06-24,14834355,,,,98689,93191,148.48,,,,9327,29436,0.295
United Arab Emirates,ARE,2021-06-25,14940031,,,,105676,91656,149.53,,,,9174,29436,0.295
United Arab Emirates,ARE,2021-06-26,15043227,,,,103196,87759,150.57,,,,8784,29436,0.295
United Arab Emirates,ARE,2021-06-27,15073743,,,,30516,80160,150.87,,,,8023,29436,0.295
United Arab Emirates,ARE,2021-06-28,15111234,,,,37491,68536,151.25,,,,6860,29436,0.295
United Arab Emirates,ARE,2021-06-29,15198661,,,,87427,73584,152.12,,,,7365,29436,0.295
United Arab Emirates,ARE,2021-06-30,15362342,,,,163681,89525,153.76,,,,8960,29436,0.295
United Arab Emirates,ARE,2021-07-01,,,,,,80137,,,,,8021,29436,0.295
United Arab Emirates,ARE,2021-07-02,15428281,,,,,69750,154.42,,,,6981,29436,0.295
United Arab Emirates,ARE,2021-07-03,15504238,,,,75957,65859,155.18,,,,6592,29436,0.295
United Arab Emirates,ARE,2021-07-04,15534207,,,,29969,65781,155.48,,,,6584,29436,0.295
United Arab Emirates,ARE,2021-07-05,15574641,7319003,6329949,,40434,66201,155.89,73.26,63.36,,6626,29436,0.295
United Arab Emirates,ARE,2021-07-06,15650988,7368545,6359697,,76347,64618,156.65,73.75,63.65,,6468,32308,0.323
United Arab Emirates,ARE,2021-07-07,15728415,7397884,6398972,,77427,52296,157.42,74.04,64.05,,5234,32295,0.323
United Arab Emirates,ARE,2021-07-08,15795853,7417751,6428717,,67438,57220,158.1,74.24,64.34,,5727,30928,0.31
United Arab Emirates,ARE,2021-07-09,15865306,7437635,6458478,,69453,62432,158.79,74.44,64.64,,6249,29563,0.296
United Arab Emirates,ARE,2021-07-10,15915717,7457402,6488137,,50411,58783,159.3,74.64,64.94,,5884,28182,0.282
United Arab Emirates,ARE,2021-07-11,15934124,7477002,6507761,,18407,57131,159.48,74.84,65.14,,5718,26776,0.268
United Arab Emirates,ARE,2021-07-12,15968660,7486855,6527509,,34536,56288,159.83,74.94,65.33,,5634,23979,0.24
